id,nome,grupo_primario,grupos_secundarios,padrao_movimento,equipamento,unilateral,comum,nivel,cadeia,perfil_sugerido,foco,complexidade_tecnica
1,Abdução miniband,abdutores,glúteo,isolamento de perna,elástico,False,3,Avançado,Cadeia Aberta,Glúteo/Posterior | Estabilidade/Prevenção,Lateral do Quadril,Média
2,Abdução na máquina,abdutores,,isolamento de perna,máquina,False,1,Básico,Cadeia Aberta,Isolamento Específico,Lateral do Quadril,Baixa (guiado)
3,Abdução na polia,abdutores,,isolamento de perna,polia,True,2,Intermediário,Cadeia Aberta,Estabilidade/Prevenção,Lateral do Quadril,Baixa (guiado)
4,Monster Walk,abdutores,glúteo,isolamento de perna,elástico,False,3,Avançado,Cadeia Aberta,Glúteo/Posterior | Estabilidade/Prevenção,Lateral do Quadril,Média
24,Adução na máquina,adutores,,isolamento de perna,máquina,False,1,Básico,Cadeia Aberta,Isolamento Específico,Interno da Coxa,Baixa (guiado)
25,Adução polia,adutores,,isolamento de perna,polia,True,2,Intermediário,Cadeia Aberta,Estabilidade/Prevenção,Interno da Coxa,Baixa (guiado)
26,Copenhagen Plank,adutores,,isolamento de perna,peso corporal,True,3,Avançado,Cadeia Aberta,Estabilidade/Prevenção,Interno da Coxa,Média (controle corporal)
64,Cable Pull Through,glúteo,posterior,dominante de quadril,polia,False,3,Avançado,Cadeia Fechada,Glúteo/Posterior,Posterior / Quadril,Média
65,Elevação pélvica com barra,glúteo,posterior,dominante de quadril,barra,False,1,Básico,Cadeia Fechada,Base Universal | Glúteo/Posterior | Força Máxima,Posterior / Quadril,Alta (técnica de barra)
66,Elevação pélvica na máquina,glúteo,posterior,dominante de quadril,máquina,False,1,Básico,Cadeia Fechada,Base Universal | Glúteo/Posterior,Posterior / Quadril,Média
67,Frog Pump,glúteo,posterior,dominante de quadril,halter,False,3,Avançado,Cadeia Fechada,Glúteo/Posterior,Posterior / Quadril,Média
68,Hip Thrust unilateral,glúteo,posterior,dominante de quadril,halter,True,2,Intermediário,Cadeia Fechada,Glúteo/Posterior,Posterior / Quadril,Média
69,Ponte de glúteo,glúteo,posterior,dominante de quadril,peso corporal,False,1,Básico,Cadeia Fechada,Glúteo/Posterior,Posterior / Quadril,Média (controle corporal)
70,Reverse Hyper,glúteo,posterior,dominante de quadril,máquina,False,3,Avançado,Cadeia Fechada,Glúteo/Posterior,Posterior / Quadril,Média
