aluno,idade,sexo,objetivo,nivel_efetivo,split,dia,exercicio,grupo,equipamento,series,reps,descanso,rpe,perfil_exercicio,foco
aluno_1_ana_iniciante_hipertrofia,,feminino,hipertrofia,iniciante,ABC (Push/Pull/Legs),Dia A - Push (Peito/Ombro/Tríceps),Desenvolvimento com halteres,ombro,halter,3,8-12,60-90s,8-9,Base Universal | Peito/Tríceps | Ombro,Ombro
aluno_1_ana_iniciante_hipertrofia,,feminino,hipertrofia,iniciante,ABC (Push/Pull/Legs),Dia A - Push (Peito/Ombro/Tríceps),Desenvolvimento militar com barra,ombro,barra,3,8-12,60-90s,8-9,Base Universal | Peito/Tríceps | Ombro,Ombro
aluno_1_ana_iniciante_hipertrofia,,feminino,hipertrofia,iniciante,ABC (Push/Pull/Legs),Dia A - Push (Peito/Ombro/Tríceps),Desenvolvimento máquina,ombro,máquina,3,8-12,60-90s,8-9,Base Universal | Peito/Tríceps | Ombro,Ombro
aluno_1_ana_iniciante_hipertrofia,,feminino,hipertrofia,iniciante,ABC (Push/Pull/Legs),Dia A - Push (Peito/Ombro/Tríceps),Crucifixo inverso com halteres,ombro,halter,2,12-15,60-90s,8-9,Ombro,Ombro
aluno_1_ana_iniciante_hipertrofia,,feminino,hipertrofia,iniciante,ABC (Push/Pull/Legs),Dia A - Push (Peito/Ombro/Tríceps),Crucifixo inverso na máquina,ombro,máquina,2,12-15,60-90s,8-9,Ombro | Isolamento Específico,Ombro
aluno_1_ana_iniciante_hipertrofia,,feminino,hipertrofia,iniciante,ABC (Push/Pull/Legs),Dia A - Push (Peito/Ombro/Tríceps),Elevação frontal com halteres,ombro,halter,2,12-15,60-90s,8-9,Ombro,Ombro
aluno_1_ana_iniciante_hipertrofia,,feminino,hipertrofia,iniciante,ABC (Push/Pull/Legs),Dia B - Pull (Costas/Bíceps/Core),Prancha isométrica,abdômen,peso corporal,3,15-20,30-45s,8-9,Base Universal | Core/Estabilidade,Abdômen
aluno_1_ana_iniciante_hipertrofia,,feminino,hipertrofia,iniciante,ABC (Push/Pull/Legs),Dia B - Pull (Costas/Bíceps/Core),Remada curvada com barra,costas,barra,3,8-12,60-90s,8-9,Base Universal | Costas/Bíceps,Costas
aluno_1_ana_iniciante_hipertrofia,,feminino,hipertrofia,iniciante,ABC (Push/Pull/Legs),Dia B - Pull (Costas/Bíceps/Core),Remada máquina,costas,máquina,3,8-12,60-90s,8-9,Base Universal | Costas/Bíceps,Costas
aluno_1_ana_iniciante_hipertrofia,,feminino,hipertrofia,iniciante,ABC (Push/Pull/Legs),Dia B - Pull (Costas/Bíceps/Core),Remada serrote com halter,costas,halter,3,8-12,60-90s,8-9,Base Universal | Costas/Bíceps,Costas
aluno_1_ana_iniciante_hipertrofia,,feminino,hipertrofia,iniciante,ABC (Push/Pull/Legs),Dia B - Pull (Costas/Bíceps/Core),Rosca alternada com halteres,bíceps,halter,2,12-15,60-90s,8-9,Costas/Bíceps,Bíceps/Antebraço
aluno_1_ana_iniciante_hipertrofia,,feminino,hipertrofia,iniciante,ABC (Push/Pull/Legs),Dia B - Pull (Costas/Bíceps/Core),Rosca direta com barra,bíceps,barra,2,12-15,60-90s,8-9,Costas/Bíceps,Bíceps/Antebraço
aluno_1_ana_iniciante_hipertrofia,,feminino,hipertrofia,iniciante,ABC (Push/Pull/Legs),Dia C - Legs (Inferiores),Elevação pélvica com barra,glúteo,barra,3,8-12,60-90s,8-9,Base Universal | Glúteo/Posterior | Força Máxima,Posterior / Quadril
aluno_1_ana_iniciante_hipertrofia,,feminino,hipertrofia,iniciante,ABC (Push/Pull/Legs),Dia C - Legs (Inferiores),Elevação pélvica na máquina,glúteo,máquina,3,8-12,60-90s,8-9,Base Universal | Glúteo/Posterior,Posterior / Quadril
aluno_1_ana_iniciante_hipertrofia,,feminino,hipertrofia,iniciante,ABC (Push/Pull/Legs),Dia C - Legs (Inferiores),Ponte de glúteo,glúteo,peso corporal,3,8-12,60-90s,8-9,Glúteo/Posterior,Posterior / Quadril
aluno_1_ana_iniciante_hipertrofia,,feminino,hipertrofia,iniciante,ABC (Push/Pull/Legs),Dia C - Legs (Inferiores),Coice na polia,glúteo,polia,2,12-15,60-90s,8-9,Glúteo/Posterior | Estabilidade/Prevenção,Glúteo
aluno_1_ana_iniciante_hipertrofia,,feminino,hipertrofia,iniciante,ABC (Push/Pull/Legs),Dia C - Legs (Inferiores),Levantamento terra,posterior,barra,3,8-12,60-90s,8-9,Base Universal | Glúteo/Posterior | Força Máxima,Posterior / Quadril
aluno_1_ana_iniciante_hipertrofia,,feminino,hipertrofia,iniciante,ABC (Push/Pull/Legs),Dia C - Legs (Inferiores),Levantamento terra romeno,posterior,barra,3,8-12,60-90s,8-9,Base Universal | Glúteo/Posterior | Força Máxima,Posterior / Quadril
aluno_1_ana_iniciante_hipertrofia,,feminino,hipertrofia,iniciante,ABC (Push/Pull/Legs),Dia C - Legs (Inferiores),Stiff com halteres,posterior,halter,3,8-12,60-90s,8-9,Base Universal | Glúteo/Posterior,Posterior / Quadril
aluno_2_carlos_intermediario_forca,,masculino,forca,intermediario,ABCD (Upper/Lower/Upper/Lower),Dia A - Superior 1,Prancha isométrica,abdômen,peso corporal,3,15-20,30-45s,9-10,Base Universal | Core/Estabilidade,Abdômen
aluno_2_carlos_intermediario_forca,,masculino,forca,intermediario,ABCD (Upper/Lower/Upper/Lower),Dia A - Superior 1,Remada curvada com barra,costas,barra,5,3-6,2-3min,9-10,Base Universal | Costas/Bíceps,Costas
aluno_2_carlos_intermediario_forca,,masculino,forca,intermediario,ABCD (Upper/Lower/Upper/Lower),Dia A - Superior 1,Remada máquina,costas,máquina,5,3-6,2-3min,9-10,Base Universal | Costas/Bíceps,Costas
aluno_2_carlos_intermediario_forca,,masculino,forca,intermediario,ABCD (Upper/Lower/Upper/Lower),Dia A - Superior 1,Remada serrote com halter,costas,halter,5,3-6,2-3min,9-10,Base Universal | Costas/Bíceps,Costas
aluno_2_carlos_intermediario_forca,,masculino,forca,intermediario,ABCD (Upper/Lower/Upper/Lower),Dia A - Superior 1,Barra fixa pronada,costas,peso corporal,5,3-6,2-3min,9-10,Base Universal | Costas/Bíceps,Costas
aluno_2_carlos_intermediario_forca,,masculino,forca,intermediario,ABCD (Upper/Lower/Upper/Lower),Dia A - Superior 1,Desenvolvimento com halteres,ombro,halter,5,3-6,2-3min,9-10,Base Universal | Peito/Tríceps | Ombro,Ombro
aluno_2_carlos_intermediario_forca,,masculino,forca,intermediario,ABCD (Upper/Lower/Upper/Lower),Dia B - Inferior 1,Elevação pélvica com barra,glúteo,barra,5,3-6,2-3min,9-10,Base Universal | Glúteo/Posterior | Força Máxima,Posterior / Quadril
aluno_2_carlos_intermediario_forca,,masculino,forca,intermediario,ABCD (Upper/Lower/Upper/Lower),Dia B - Inferior 1,Elevação pélvica na máquina,glúteo,máquina,5,3-6,2-3min,9-10,Base Universal | Glúteo/Posterior,Posterior / Quadril
aluno_2_carlos_intermediario_forca,,masculino,forca,intermediario,ABCD (Upper/Lower/Upper/Lower),Dia B - Inferior 1,Levantamento terra,posterior,barra,5,3-6,2-3min,9-10,Base Universal | Glúteo/Posterior | Força Máxima,Posterior / Quadril
aluno_2_carlos_intermediario_forca,,masculino,forca,intermediario,ABCD (Upper/Lower/Upper/Lower),Dia B - Inferior 1,Levantamento terra romeno,posterior,barra,5,3-6,2-3min,9-10,Base Universal | Glúteo/Posterior | Força Máxima,Posterior / Quadril
aluno_2_carlos_intermediario_forca,,masculino,forca,intermediario,ABCD (Upper/Lower/Upper/Lower),Dia B - Inferior 1,Agachamento frontal,quadríceps,barra,5,3-6,2-3min,9-10,Força Máxima,Frente da Coxa / Joelho
aluno_2_carlos_intermediario_forca,,masculino,forca,intermediario,ABCD (Upper/Lower/Upper/Lower),Dia B - Inferior 1,Agachamento livre,quadríceps,barra,5,3-6,2-3min,9-10,Base Universal | Força Máxima,Frente da Coxa / Joelho
aluno_2_carlos_intermediario_forca,,masculino,forca,intermediario,ABCD (Upper/Lower/Upper/Lower),Dia B - Inferior 1,Stiff com halteres,posterior,halter,5,3-6,2-3min,9-10,Base Universal | Glúteo/Posterior,Posterior / Quadril
aluno_2_carlos_intermediario_forca,,masculino,forca,intermediario,ABCD (Upper/Lower/Upper/Lower),Dia C - Superior 2,Prancha isométrica,abdômen,peso corporal,3,15-20,30-45s,9-10,Base Universal | Core/Estabilidade,Abdômen
aluno_2_carlos_intermediario_forca,,masculino,forca,intermediario,ABCD (Upper/Lower/Upper/Lower),Dia C - Superior 2,Remada curvada com barra,costas,barra,5,3-6,2-3min,9-10,Base Universal | Costas/Bíceps,Costas
aluno_2_carlos_intermediario_forca,,masculino,forca,intermediario,ABCD (Upper/Lower/Upper/Lower),Dia C - Superior 2,Remada máquina,costas,máquina,5,3-6,2-3min,9-10,Base Universal | Costas/Bíceps,Costas
aluno_2_carlos_intermediario_forca,,masculino,forca,intermediario,ABCD (Upper/Lower/Upper/Lower),Dia C - Superior 2,Remada serrote com halter,costas,halter,5,3-6,2-3min,9-10,Base Universal | Costas/Bíceps,Costas
aluno_2_carlos_intermediario_forca,,masculino,forca,intermediario,ABCD (Upper/Lower/Upper/Lower),Dia C - Superior 2,Barra fixa pronada,costas,peso corporal,5,3-6,2-3min,9-10,Base Universal | Costas/Bíceps,Costas
