id,nome,grupo_primario,grupos_secundarios,padrao_movimento,equipamento,incremento_kg,unilateral,medida,comum,nivel
1,Abdução miniband,abdutores,glúteo,isolamento de perna,elástico,,False,reps,3,avançado
2,Abdução na máquina,abdutores,,isolamento de perna,máquina,5.0,False,reps,1,básico
3,Abdução na polia,abdutores,,isolamento de perna,polia,2.5,True,reps,2,intermediário
4,Monster Walk,abdutores,glúteo,isolamento de perna,elástico,,False,reps,3,avançado
5,Dead Bug,abdômen,,antiextensão,peso corporal,,False,reps,2,intermediário
6,Dragon Flag,abdômen,,antiextensão,peso corporal,,False,reps,3,avançado
7,Hollow Hold,abdômen,,antiextensão,peso corporal,,False,tempo,3,avançado
8,Mountain Climbers,abdômen,,antiextensão,peso corporal,,False,tempo,2,intermediário
9,Prancha isométrica,abdômen,lombar,antiextensão,peso corporal,,False,tempo,1,básico
10,Prancha lateral,abdômen,,antiextensão,peso corporal,,True,tempo,2,intermediário
11,Roda abdominal,abdômen,,antiextensão,peso corporal,,False,reps,3,avançado
12,Abdominal infra no solo,abdômen,,flexão de tronco,peso corporal,,False,reps,2,intermediário
13,Abdominal na máquina,abdômen,,flexão de tronco,máquina,5.0,False,reps,1,básico
14,Abdominal na polia alta,abdômen,,flexão de tronco,polia,2.5,False,reps,1,básico
15,Abdominal supra no solo,abdômen,,flexão de tronco,peso corporal,,False,reps,1,básico
16,Elevação de pernas no banco,abdômen,,flexão de tronco,peso corporal,,False,reps,2,intermediário
17,Elevação de pernas suspenso,abdômen,,flexão de tronco,peso corporal,,False,reps,1,básico
18,Toes to Bar,abdômen,,flexão de tronco,peso corporal,,False,reps,3,avançado
19,V-Up,abdômen,,flexão de tronco,peso corporal,,False,reps,2,intermediário
20,Abdominal bicicleta,abdômen,,rotação,peso corporal,,False,reps,2,intermediário
21,Lenhador na polia,abdômen,,rotação,polia,2.5,True,reps,3,avançado
22,Pallof press na polia,abdômen,,rotação,polia,2.5,True,reps,3,avançado
23,Rotação russa com anilha,abdômen,,rotação,anilha,2.5,False,reps,2,intermediário
24,Adução na máquina,adutores,,isolamento de perna,máquina,5.0,False,reps,1,básico
25,Adução polia,adutores,,isolamento de perna,polia,2.5,True,reps,2,intermediário
26,Copenhagen Plank,adutores,,isolamento de perna,peso corporal,,True,tempo,3,avançado
27,Farmer Walk,bíceps,ombro;abdômen,carregamento,halter,2.0,False,tempo,3,avançado
